SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
CCC1C(C)CC(C1C)C2CCC3CCCCC3(C)C2C,1,0.0000,1,0.0000
CCC1C(C)(CC)CCC2C1(C)CCC3(C)C4CC(C)(C)CCC4(C)CCC23C,44,0.0000,44,0.0003
*N1C(=O)N(*)C(O[H])C1O[H],1,0.0000,1,0.0000
c(ccCCCCC)cCCC,2,0.0000,2,0.0000
c1ccc(cc1)cccC(CCCC2(C)CCCC(C)(C)C2CC)C(C)C,2,0.0000,2,0.0000
CCCCCC1CCCC1,4,0.0000,4,0.0000
CCC1C(C)CCC(C)C1(C)CCC(C)C,75,0.0000,73,0.0005
*OC(=C1OC(C=CC=C)=CC=C1)C(O[H])=CO[H],2,0.0000,2,0.0000
CCC1C(C)(C)CCC2C(C)(C)CCCC12C,17,0.0000,17,0.0001
CC(C)CC(C)(C)C(C)(C)CCCC1C(C)CCCC1(C)C,3,0.0000,3,0.0000
[H]OC(=O)C#C,10,0.0000,10,0.0001
*N(C(=O)C=C)N(*)C(=O)C=C,2,0.0000,2,0.0000
cc1cccc2-c3ccccc3Ccc12,4,0.0000,4,0.0000
CCCCCCCC(C)CC(C)CC,4,0.0000,4,0.0000
cccccCCCCCC,1,0.0000,1,0.0000
CC1CCC(C1C)C2CCC(C)(C)C2,1,0.0000,1,0.0000
CCC12CCC(C)C2C1CC(C)C,1,0.0000,1,0.0000
C1CCC(CC1)CC2CCCCC2,1,0.0000,1,0.0000
c1ccc(cc1)CC(c2ccccc2)C,428,0.0003,427,0.0027
c1cc2c(c(c1CC)C)CCC3(C)C2CCC3C(C)CCCC(C)C,1,0.0000,1,0.0000
*[S+]([O-])C(=CC#CC#C)C=C,1,0.0000,1,0.0000
CCCCC(CCC)C(C)C(C)CC,1,0.0000,1,0.0000
c1ccc(cc1)C(c2cccc(c2)C)CCCC,20,0.0000,20,0.0001
*OCOCOC=CC(*)=O,1,0.0000,1,0.0000
CCC1C(C)(C)CCCC1(C)CCCC2C(C)CCC3C(C)(C)CCCC23C,1,0.0000,1,0.0000
CCCC(C)(CC)CCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1C,3,0.0000,3,0.0000
CCC1(CC)CCCC1C,1,0.0000,1,0.0000
CCCCCCCCCCCCCCCCCCCCCCC(C)CC(C)CC(C)CCC,2,0.0000,1,0.0000
CCCCCCCCCCCCCCCCC(C)CC,6,0.0000,6,0.0000
cCC(C)C,144,0.0001,126,0.0008
CCC(C)CCCC(C)CCC1C(C)CCCC1(C)C,1,0.0000,1,0.0000
CCC(C(C)C)C1(C)CCCC(C)C1,2,0.0000,2,0.0000
c1cc2c(cc1C)C(CCC2C)C(C)CCC,1,0.0000,1,0.0000
CC(C)C1CCC2(C)C(CCC3(C)CCCC32)C1C,1,0.0000,1,0.0000
c1ccc2c(c1)CC3C2(C)CCC4C3(C)CCC5C(C)(C)CCCC54C,2,0.0000,2,0.0000
cccc1cccc2cc(cc(c12)C)C,1,0.0000,1,0.0000
c1ccc(cc1)CC(CC)C2(C)CCCCC2,1,0.0000,1,0.0000
CCCC(CC)CC(C)C,12,0.0000,12,0.0001
cc(c1cccc(c1)C)CCC(C)C,1,0.0000,1,0.0000
cccccC(CC)CC,3,0.0000,3,0.0000
CCCCC1C(C)CCC(CC)C1C,1,0.0000,1,0.0000
ccc(c)CCC1C(C)CCC(C)C1CC,55,0.0000,55,0.0003
cc(cc1ccccc1)C(C)(CC)CC,2,0.0000,2,0.0000
N(=C)C=CC=CC=C,1,0.0000,1,0.0000
